"Well","Plate","Sample","Conc..ng.uL.","Water","DNA","Final.volume","Final.concentration","Sample.Type...water.sediment..etc.","Collection.time","Collection.date","Filtered.Date..for.water.samples.","Collection.Location..Site.Area..etc.","Collected.By","Depth..m.","Latitude","Longitude","Comments","Dilution.factor"
"A1","Plate 1","124A",7.73,20,"10",30,NA,"Seawater","16:07","3/03/2021","3/03/2021","CTD 46","Maddie/Jess","10","-66.07165",69.99328,"",0.333333333
"C1","Plate 1","088A",30.1,27.5,"2.5",30,2.51,"Seawater","15:11","24/02/2021","24/02/2021","CTD 26","Maddie","5","-65.50067",64.98533,"",0.083333333
"E1","Plate 1","075A",11.3,23,"7",30,2.64,"Seawater","11:12","21/02/2021","21/02/2021","CTD 20","Andreas","5","-66.56572",62.06277,"",0.233333333
"F1","Plate 1","157A",4.27,12,"18",30,2.56,"Seawater","23:56","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.99783",79.775,"",0.6
"G1","Plate 1","072A",14.5,24.5,"5.5",30,2.66,"Seawater","20:28","20/02/2021","20/02/2021","CTD 19","Derek","5","-66.55722",60.24808,"",0.183333333
"H1","Plate 1","053A",40,28,"2",30,2.67,"Seawater","8:39","14/02/2021","14/02/2021","CTD 004","Liv/Christine","5","-64.501",55.001,"quantification out of range - remeasured with 1:1 dilution",0.066666667
"B2","Plate 1","064A",16,25,"5",30,2.67,"Seawater","17:04","19/02/2021","19/02/2021","CTD 15","Mad","10","-65.52035",59.97708,"",0.166666667
"C2","Plate 1","143A",0.365,0,"30",30,0.37,"Seawater","15:06","7/03/2021","7/03/2021","CTD 55","AK/SB","3219","-65.00145",74.99887,"",1
"D2","Plate 1","117A",14,24.5,"5.5",30,2.57,"Seawater","21:13","2/03/2021","2/03/2021","CTD 43","Maddie","5","-65.33278",69.99915,"",0.183333333
"E2","Plate 1","073A",0.09,0,"30",30,0.09,"Seawater","19:33","20/02/2021","20/02/2021","CTD 19","Derek","1600","-66.55692",60.2459,"",1
"F2","Plate 1","122A",10.8,23,"7",30,2.52,"Seawater","11:33","3/03/2021","3/03/2021","CTD 45","Liv","12","-65.91767",69.99233,"",0.233333333
"G2","Plate 1","060A",0,0,"30",30,0,"MilliQ water","","19/02/2021","19/02/2021","MilliQ","Liv","","",NA,"quantification out of range",1
"H2","Plate 1","166A",0,0,"30",30,0,"Seawater","6:10","11/03/2021","11/03/2021","CTD 63","Liv/Christine","3597","-64.58468",79.9995,"",1
"A3","Plate 1","111A",16.5,25,"5",30,2.75,"Seawater","3:57","2/03/2021","2/03/2021","CTD 40","Christine/Liv","5","-64.5655",70.00038,"",0.166666667
"D3","Plate 1","085A",0.119,0,"30",30,0.12,"Seawater","6:31","24/02/2021","24/02/2021","CTD 25","Derek","3080","-65.98283",65.00278,"",1
"F3","Plate 1","164A",1.78,0,"30",30,1.78,"Seawater","23:37","10/03/2021","10/03/2021","CTD 62","Maddie","3680","-64.2549",79.99658,"",1
"G3","Plate 1","152A",1.49,0,"30",30,1.49,"Seawater","7:40","9/03/2021","9/03/2021","CTD 59","Christine/Liv","100","-63.02047",76.18385,"",1
"B4","Plate 1","051A",0.11,0,"30",30,0.11,"Seawater","22:03","13/02/2021","13/02/2021","CTD 003","Liv/Christine","3700","-65.006",55.001,"",1
"C4","Plate 1","049A",15.5,25,"5",30,2.58,"Seawater","0:00","13/02/2021","13/02/2021","CTD 003","Liv/Christine/night shift","5","-65.006",55.001,"",0.166666667
"E4","Plate 1","145A",5.22,15.5,"14.5",30,2.52,"Seawater","22:09","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.9955",76.17317,"",0.483333333
"F4","Plate 1","063A",0.87,0,"30",30,0.87,"Seawater","15:07","19/02/2021","19/02/2021","CTD 15","Mad","3870","-65.51035",59.98467,"",1
"G4","Plate 1","147A",9.8,22,"8",30,2.61,"Seawater","22:42","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.99133",76.18367,"",0.266666667
"H4","Plate 1","076A",0.0973,0,"30",30,0.1,"Seawater","14:46","21/02/2021","21/02/2021","CTD 21","AK/SB","1471","-66.52453",62.44553,"",1
"B5","Plate 1","134A",0.209,0,"30",30,0.21,"Seawater","5:10","6/03/2021","6/03/2021","CTD 51","Jez/Dez","1754","-66.80133",75.00278,"",1
"C5","Plate 1","148A",13.5,24,"6",30,2.7,"Seawater","22:47","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.99083",76.17717,"",0.2
"D5","Plate 1","103A",0.421,0,"30",30,0.42,"Seawater","6:13","1/03/2021","1/03/2021","CTD 37","Maddie","3520","-63.96712",70.00163,"",1
"F5","Plate 1","090A",0,0,"30",30,0,"MilliQ water","","24/02/2021","24/02/2021","MilliQ","Derek/Jez","","",NA,"quantification out of range",1
"G5","Plate 1","125A",1.29,0,"30",30,1.29,"Seawater","2:40","5/03/2021","5/03/2021","CTD 47","Maddie","480","-67.99742",74.99333,"",1
"H5","Plate 1","093A",3.94,10.5,"19.5",30,2.56,"Seawater","14:59","25/02/2021","25/02/2021","CTD 28","Maddie","5","-64.50013",64.99745,"",0.65
"A6","Plate 1","119A",6.09,17.5,"12.5",30,2.54,"Seawater","4:38","3/03/2021","3/03/2021","CTD 44","Liv","5","-65.66667",70.00133,"",0.416666667
"E6","Plate 1","EC2",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"G6","Plate 1","116A",0.0673,0,"30",30,0.07,"Seawater","19:52","2/03/2021","2/03/2021","CTD 43","Maddie","2790","-65.33283",69.99967,"",1
"B7","Plate 1","070A",0,0,"30",30,0,"MilliQ water","","21/02/2021","21/02/2021","MilliQ","Derek","","",NA,"quantification out of range",1
"D7","Plate 1","149A",13.2,24,"6",30,2.64,"Seawater","22:52","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.99033",76.1695,"",0.2
"F7","Plate 1","086A",23.5,26.5,"3.5",30,2.74,"Seawater","8:10","24/02/2021","24/02/2021","CTD 25","Derek","5","-65.9993",65.00373,"",0.116666667
"H7","Plate 1","068A",23.2,26.5,"3.5",30,2.71,"Seawater","11:11","20/02/2021","20/02/2021","CTD 17","Derek","5","-66.25182",60.2457,"",0.116666667
"A8","Plate 1","080A",0,0,"30",30,0,"MilliQ water","","23/02/2021","23/02/2021","MilliQ","Maddie","","",NA,"quantification out of range",1
"B8","Plate 1","050A",0,0,"30",30,0,"MilliQ water","","","","","Liv/Christine","","",NA,"quantification out of range",1
"C8","Plate 1","EC3",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"D8","Plate 1","055A",46.2,28,"2",30,3.08,"Seawater","4:23","18/02/2021","18/02/2021","CTD 11","Christine/Liv/Liss","5","-63.48117",60.02933,"quantification out of range - remeasured with 1:1 dilution",0.066666667
"G8","Plate 1","056A",0.301,0,"30",30,0.3,"Seawater","10:57","18/02/2021","18/02/2021","CTD 12","Christine/Liv/Liss","4327","-64.00288",60.0049,"",1
"H8","Plate 1","153A",5.93,17,"13",30,2.57,"Seawater","7:49","9/03/2021","9/03/2021","CTD 59","Christine/Liv","45","-63.02028",76.18392,"",0.433333333
"A9","Plate 1","126A",15.9,25,"5",30,2.65,"Seawater","3:04","5/03/2021","5/03/2021","CTD 47","Maddie","5","-67.99422",74.99377,"",0.166666667
"B9","Plate 1","092A",0.302,0,"30",30,0.3,"Seawater","12:52","25/02/2021","25/02/2021","CTD 28","Maddie","3897","-64.5",65.00085,"",1
"D9","Plate 1","083A",0.213,0,"30",30,0.21,"Seawater","23:09","23/02/2021","23/02/2021","CTD 24","Maddie","2500","-66.25042",64.99917,"",1
"E9","Plate 1","099A",23.1,26.5,"3.5",30,2.7,"Seawater","16:12","28/02/2021","28/02/2021","CTD 35","Jess/Mads","15","-63.16692",70.00027,"",0.116666667
"B10","Plate 1","047A",36.1,27.5,"2.5",30,3.01,"Seawater","13:41","13/02/2021","13/02/2021","CTD 002","Liv/Liss/Christine/Mads","5","-65.525",55.05,"",0.083333333
"C10","Plate 1","081A",0.252,0,"30",30,0.25,"Seawater","17:40","23/02/2021","23/02/2021","CTD 23","Maddie","2190","-66.40077",65.00183,"",1
"E10","Plate 1","059A",37.1,27.5,"2.5",30,3.09,"Seawater","21:59","18/02/2021","18/02/2021","CTD 13","Mad/Jess/Liv","5","-64.49935",59.99935,"",0.083333333
"F10","Plate 1","098A",0.0334,0,"30",30,0.03,"Seawater","14:10","28/02/2021","28/02/2021","CTD 35","Jess/Mads","3993","-63.16703",69.99898,"",1
"G10","Plate 1","133A",14.1,24.5,"5.5",30,2.59,"Seawater","1:45","6/03/2021","6/03/2021","CTD 50","Jez/Dez","5","-66.85265",75.0055,"",0.183333333
"H10","Plate 1","089A",19.3,26,"4",30,2.57,"Seawater","23:24","24/02/2021","24/02/2021","CTD 27","Derek/Jez","5","-64.99983",65.00052,"",0.133333333
"B11","Plate 1","115A",12.7,24,"6",30,2.54,"Seawater","15:21","2/03/2021","2/03/2021","CTD 42","Maddie","5","-65.01688",70.00062,"",0.2
"E11","Plate 1","146A",8.13,20.5,"9.5",30,2.57,"Seawater","22:37","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.99167",76.18867,"",0.316666667
"F11","Plate 1","097A",17.1,25.5,"4.5",30,2.57,"Seawater","9:42","28/02/2021","28/02/2021","CTD 34","Christine/Liv/Liss","15","-62.83217",70.00105,"",0.15
"G11","Plate 1","052A",0.208,0,"30",30,0.21,"Seawater","7:17","14/02/2021","14/02/2021","CTD 004","Liv/Christine","4350","-64.501",55,"",1
"H11","Plate 1","168A",0.767,0,"30",30,0.77,"Seawater","12:59","11/03/2021","11/03/2021","CTD 64","Jess","3566","-64.9207",80.00117,"",1
"D12","Plate 1","EC1",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"E12","Plate 1","082A",16.7,25.5,"4.5",30,2.51,"Seawater","18:38","23/02/2021","23/02/2021","CTD 23","Maddie","5","-66.40008",65.00268,"",0.15
"F12","Plate 1","113A",16.4,25,"5",30,2.73,"Seawater","9:14","2/03/2021","2/03/2021","CTD 41","Liv","5","-64.76575",70.00223,"",0.166666667
"C1","Plate 2","140A",0,0,"30",30,0,"MilliQ water","","?","?","MilliQ","AK/SB","","",NA,"quantification out of range",1
"F1","Plate 2","135A",11.7,23.5,"6.5",30,2.54,"Seawater","6:26","6/03/2021","6/03/2021","CTD 51","Jez/Dez","5","-66.79658",74.99742,"",0.216666667
"G1","Plate 2","095A",0.94,0,"30",30,0.94,"Seawater","22:15","25/02/2021","25/02/2021","CTD 29","Maddie","4080","-64.0007",64.99752,"",1
"H1","Plate 2","EC4",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"A2","Plate 2","106A",17.8,25.5,"4.5",30,2.67,"Seawater","16:05","1/03/2021","1/03/2021","CTD 38","Maddie","5","-64.21663",70.00098,"",0.15
"C2","Plate 2","131A",1.51,0,"30",30,1.51,"Seawater","14:12","5/03/2021","5/03/2021","CTD 49","Maddie","445","-67.33237",74.59232,"",1
"D2","Plate 2","155A",7.73,20,"10",30,2.58,"Seawater","0:22","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.99933",79.781,"",0.333333333
"E2","Plate 2","156A",6.67,18.5,"11.5",30,2.56,"Seawater","23:49","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.99967",79.78083,"",0.383333333
"F2","Plate 2","078A",0.145,0,"30",30,0.15,"Seawater","12:54","23/02/2021","23/02/2021","CTD 22","Maddie","2290","-66.55385",65.01467,"",1
"H2","Plate 2","074A",0.226,0,"30",30,0.23,"Seawater","10:44","21/02/2021","21/02/2021","CTD 20","Andreas","850","-66.56573",62.06278,"",1
"C3","Plate 2","108A",21.9,26.5,"3.5",30,2.56,"Seawater","23:09","1/03/2021","2/03/2021","CTD 39","Maddie","56","-64.41682",69.9493,"",0.116666667
"D3","Plate 2","102A",10,22.5,"7.5",30,2.5,"Seawater","22:55","28/02/2021","28/02/2021","CTD 36","Maddie","15","-63.49792",69.9964,"",0.25
"E3","Plate 2","057A",30.5,27.5,"2.5",30,2.54,"Seawater","13:04","18/02/2021","18/02/2021","CTD 12","Christine/Liv/Liss","5","-63.99982",59.99707,"",0.083333333
"F3","Plate 2","067A",0.271,0,"30",30,0.27,"Seawater","9:38","20/02/2021","20/02/2021","CTD 17","Derek","0","-66.24997",60.24897,"",1
"H3","Plate 2","129A",20.5,26,"4",30,2.73,"Seawater","15:10","5/03/2021","5/03/2021","CTD 49","Maddie","5","-67.3339",74.5898,"",0.133333333
"A4","Plate 2","127A",19.4,26,"4",30,2.59,"Seawater","9:08","5/03/2021","5/03/2021","CTD 48","Maddie","473","-67.674",74.64737,"",0.133333333
"C4","Plate 2","110A",0.0437,0,"30",30,0.04,"MilliQ water","","2/03/2021","2/03/2021","MilliQ","Christine/Liv","","",NA,"",1
"D4","Plate 2","109A",0,0,"30",30,0,"Seawater","2:42","2/03/2021","2/03/2021","CTD 40","Christine/Liv","3300","-64.566",69.99958,"quantification out of range",1
"F4","Plate 2","104A",14.7,24.5,"5.5",30,2.7,"Seawater","8:07","1/03/2021","1/03/2021","CTD 37","Maddie","10","-63.97543",70.01028,"",0.183333333
"A5","Plate 2","087A",0,0,"30",30,0,"Seawater","13:27","24/02/2021","24/02/2021","CTD 26","Maddie","2725","-66.49958",64.92705,"quantification out of range",1
"B5","Plate 2","061A",0.18,0,"30",30,0.18,"Seawater","6:36","19/02/2021","19/02/2021","CTD 14","Liv","4120","-64.99938",60.01367,"",1
"C5","Plate 2","114A",0,0,"30",30,0,"Seawater","13:46","2/03/2021","2/03/2021","CTD 42","Maddie","2880","-65.01723",69.99827,"quantification out of range",1
"D5","Plate 2","123A",0.225,0,"30",30,0.23,"Seawater","14:43","3/03/2021","3/03/2021","CTD 46","Maddie/Jess","2437","-66.07045",70.0009,"",1
"F5","Plate 2","141A",0.242,0,"30",30,0.24,"Seawater","3:37","7/03/2021","7/03/2021","CTD 54","AK/SB","3034","-65.99946",75.00157,"",1
"G5","Plate 2","137A",9.2,21.5,"8.5",30,2.61,"Seawater","13:33","6/03/2021","6/03/2021","CTD 52","Christine","5","-66.64993",75.00143,"",0.283333333
"H5","Plate 2","144A",15.5,25,"5",30,2.58,"Seawater","16:31","7/03/2021","7/03/2021","CTD 55","Jess","5","-65.0011",74.99887,"",0.166666667
"C6","Plate 2","EC6",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"E6","Plate 2","161A",5.93,17,"13",30,2.57,"Seawater","23:42","10/03/2021","10/03/2021","TT 18","Derek","surface","-63",79.78817,"",0.433333333
"F6","Plate 2","169A",21.5,26.5,"3.5",30,2.51,"Seawater","14:59","11/03/2021","11/03/2021","CTD 64","Jess","5","-64.91937",80.00138,"",0.116666667
"B7","Plate 2","091A",0.241,0,"30",30,0.24,"Seawater","21:58","24/02/2021","24/02/2021","CTD 27","Derek/Jez","3200","-65.00152",65.0002,"",1
"D7","Plate 2","170A",0,0,"30",30,0,"MilliQ water","19:15","","","MilliQ","Mads","","",NA,"quantification out of range",1
"E7","Plate 2","105A",0.632,0,"30",30,0.63,"Seawater","14:15","1/03/2021","1/03/2021","CTD 38","Maddie","3392","-64.21618",69.99623,"",1
"H7","Plate 2","121A",0.343,0,"30",30,0.34,"Seawater","10:10","3/03/2021","3/03/2021","CTD 45","Liv","2489","-65.91783",69.99233,"",1
"A8","Plate 2","171A",0.813,0,"30",30,0.81,"Seawater","20:32","11/03/2021","11/03/2021","CTD 65","Derek","3530","-65.18183",79.99967,"",1
"D8","Plate 2","165A",17.3,28.5,"1.5",30,0.87,"Seawater","0:59","11/03/2021","11/03/2021","CTD 62","Maddie","5","-64.25692",79.9981,"",0.05
"E8","Plate 2","094A",19.8,26,"4",30,2.64,"Seawater","23:56","25/02/2021","25/02/2021","CTD 29","Maddie","5","-64.00015",64.99983,"",0.133333333
"G8","Plate 2","EC7",0,0,"30",30,0,"","","","","","","","",NA,"",1
"H8","Plate 2","151A",10.3,22.5,"7.5",30,2.58,"Seawater","22:57","8/03/2021","8/03/2021","TT 15","Derek","surface","-62.98983",76.16233,"",0.25
"A9","Plate 2","128A",0.767,0,"30",30,0.77,"Seawater","9:39","5/03/2021","5/03/2021","CTD 48","Maddie","5","-67.67687",74.64172,"",1
"B9","Plate 2","101A",0.427,0,"30",30,0.43,"Seawater","21:23","28/02/2021","28/02/2021","CTD 36","Maddie","3700","-63.49965",70.00285,"",1
"D9","Plate 2","120A",0,0,"30",30,0,"MilliQ water","","3/03/2021","3/03/2021","MilliQ","Liv","","",NA,"quantification out of range",1
"E9","Plate 2","130A",0,0,"30",30,0,"MilliQ water","","5/03/2021","5/03/2021","MilliQ","Maddie","","",NA,"quantification out of range",1
"F9","Plate 2","071A",17.4,25.5,"4.5",30,2.61,"Seawater","15:32","20/02/2021","20/02/2021","CTD 18","Derek","5","-66.40185",60.249,"",0.15
"G9","Plate 2","139A",2.57,0,"30",30,2.57,"Seawater","17:25","6/03/2021","6/03/2021","CTD 53","Jez","5","-66.49948",75.00257,"",1
"B10","Plate 2","172A",32.1,27.5,"2.5",30,2.68,"Seawater","22:06","11/03/2021","11/03/2021","CTD 65","Derek","5","-65.18033",80.0005,"",0.083333333
"D10","Plate 2","100A",0,0,"30",30,0,"MilliQ water","","28/02/2021","28/02/2021","MilliQ","Jess/Mads","","",NA,"quantification out of range",1
"E10","Plate 2","058A",0.13,0,"30",30,0.13,"Seawater","20:10","18/02/2021","18/02/2021","CTD 13","Mad/Jess/Liv","4300","-64.49935",59.99935,"",1
"G10","Plate 2","065A",0.117,0,"30",30,0.12,"Seawater","2:10","20/02/2021","20/02/2021","CTD 16","Jed/Dez","5","-65.61113",59.98118,"",1
"A11","Plate 2","107A",0.713,0,"30",30,0.71,"Seawater","21:45","1/03/2021","2/03/2021","CTD 39","Maddie","3383","-64.41675",69.9529,"",1
"F11","Plate 2","048A",0.149,0,"30",30,0.15,"Seawater","12.55","13/02/2021","13/02/2021","CTD 002","Liv/Liss/Christine/Mads","960","-65.525",55.498,"",1
"H11","Plate 2","054A",0.142,0,"30",30,0.14,"Seawater","2:34","18/02/2021","18/02/2021","CTD 11","Christine/Liv/Liss","4422","-63.485",60.015,"",1
"A12","Plate 2","132A",0.667,0,"30",30,0.67,"Seawater","1:15","6/03/2021","6/03/2021","CTD 50","Jez/Dez","381","-66.95377",75.0081,"",1
"B12","Plate 2","142A",23,26.5,"3.5",30,2.68,"Seawater","5:19","7/03/2021","7/03/2021","CTD 54","AK/SB","5","-66.00067",75.00082,"",0.116666667
"C12","Plate 2","159A",6.5,18,"12",30,2.6,"Seawater","0:15","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.998",79.78267,"",0.4
"D12","Plate 2","062A",26.2,27,"3",30,2.62,"Seawater","8:51","19/02/2021","19/02/2021","CTD 14","Liv","5","-65.00067",60.01283,"",0.1
"E12","Plate 2","096A",0.38,0,"30",30,0.38,"Seawater","7:30","28/02/2021","28/02/2021","CTD 34","Christine/Liv/Liss","4081","-62.83295",70.00108,"",1
"C1","Plate 3","079A",15.5,25,"5",30,2.58,"Seawater","14:24","23/02/2021","23/02/2021","CTD 22","Maddie","5","-66.55453",65.0077,"",0.166666667
"D1","Plate 3","077A",13.7,24.5,"5.5",30,2.51,"Seawater","15:25","21/02/2021","21/02/2021","CTD 21","AK/SB","8","-66.52372",62.44542,"",0.183333333
"F1","Plate 3","066A",8.93,21.5,"8.5",30,2.53,"Seawater","0:45","20/02/2021","20/02/2021","CTD 16","Jed/Dez","3050","-65.93992",59.97225,"only 1/4 filter instead of 1/2 filter",0.283333333
"H1","Plate 3","EC9",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"C2","Plate 3","158A",5.81,17,"13",30,2.52,"Seawater","0:03","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.996",79.76867,"",0.433333333
"H2","Plate 3","136A",0,0,"30",30,0,"Seawater","12:17","6/03/2021","6/03/2021","CTD 52","Christine","2147","-66.65215",74.99828,"quantification out of range",1
"A3","Plate 3","069A",0,0,"30",30,0,"Seawater","13:52","20/02/2021","20/02/2021","CTD 18","Derek","2265","-66.40013",60.2512,"quantification out of range",1
"C3","Plate 3","154A",0.313,0,"30",30,0.31,"Seawater","7:57","9/03/2021","9/03/2021","CTD 59","Christine/Liv","5","-63.02035",76.1839,"",1
"D3","Plate 3","EC5",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"E3","Plate 3","EC8",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"F3","Plate 3","167A",1.25,0,"30",30,1.25,"Seawater","8:09","11/03/2021","11/03/2021","CTD 63","Liv/Christine","5","-64.58583",79.9971,"",1
"H3","Plate 3","118A",0,0,"30",30,0,"Seawater","3:16","3/03/2021","3/03/2021","CTD 44","Liv","2691","-65.667",69.9995,"quantification out of range",1
"A4","Plate 3","084A",17.7,25.5,"4.5",30,2.66,"Seawater","0:14","24/02/2021","24/02/2021","CTD 24","Maddie","5","-66.25328",64.9954,"",0.15
"B4","Plate 3","112A",0.553,0,"30",30,0.55,"Seawater","7:14","2/03/2021","2/03/2021","CTD 41","Liv","3225","-64.76607",70.0005,"",1
"C4","Plate 3","138A",0.331,0,"30",30,0.33,"Seawater","16:17","6/03/2021","6/03/2021","CTD 53","Jez","2430","-66.49977",75.0024,"",1
