"Sampling.day","Tank","Sample.replica","R1","R2","R3","DayF","L1","L2","L3","LateF","pr"
2,3,2,7243.33265,2914.999725,1678.333175,"2",8.88783669024274,7.97762500444497,7.42555642214493,"Early",0.116195099868465
2,2,1,5217.55506333333,1637.11095666667,1399.199868,"2",8.55978419248136,7.40068835556691,7.24365582936476,"Early",0.0705914542911711
4,2,2,3530.97744466667,1083.55545333333,1012.88879333333,"4",8.16933000810472,6.98800299948526,6.92056171868973,"Early",0.0571758502033555
10,2,2,955.177687666667,196.8066481,100.817768266667,"10",6.86189738355759,5.28222176504352,4.61331461258987,"Late",0.912023725517234
0.083333333,1,3,20163.5536533333,9457.55466333333,6159.77719666667,"0.08",9.91163197913791,9.15456913638298,8.72579588650114,"Early",0.0475512831538805
0.25,1,2,8409.33254,3634.62187933333,2695.933079,"0.25",9.03709738477581,8.19826036236528,7.89949964939474,"Early",0.0416487134684637
1.25,3,1,11377.33226,2524.5664285,1625.33318,"1.25",9.33937825664874,7.83382461548021,7.39346810759343,"Early",0.592605076966747
14,2,3,210.351091266667,NA,8.0365659085,"14",5.34877799788457,NA,2.08400186613821,"Late",0.999990068699019
4,1,2,4911.33287,1883.266489,1453.37764066667,"4",8.49930064423502,7.54076304227613,7.28164553390751,"Early",0.0521135992217992
5,3,1,6842.88824333333,2267.22200833333,1625.33318,"5",8.83096517928813,7.72631057616406,7.39346810759343,"Early",0.1064228014146
10,1,2,2870.24417366667,1395.666535,652.488827333333,"10",7.96215238306738,7.24112738301141,6.48079401618946,"Late",0.124416317710947
1,3,3,4169.33294,1256.68877033333,1077.666565,"1",8.33551133557,7.13623558074393,6.9825533947177,"Early",0.0796471880362715
5,1,3,14981.33192,4769.99955,3218.866363,"5",9.61456016633629,8.47010148954276,8.07678451537024,"Early",0.152744406850229
7,3,2,2445.066436,904.533248,625.399941,"7",7.80182757372795,6.80741906258985,6.43839135068411,"Early",0.0824838119480216
3,2,1,7090.22155333333,2335.533113,2117.64424466667,"3",8.86647186774504,7.75599545796197,7.65805954447374,"Early",0.0507279035445612
1.25,2,2,6289.33274,2256.62200933333,1853.82204733333,"1.25",8.74661026139642,7.72162428797298,7.52500475841952,"Early",0.0527217235965051
3,1,3,3881.95518933333,3130.533038,1997.51092266667,"3",8.26409422047154,8.04895856871537,7.59965714579402,"Early",0.0176322580613018
0.083333333,2,1,6654.44381666667,4063.33295,3924.35518533333,"0.08",8.80304015358266,8.30975883946758,8.27495733272891,"Early",0.0160700726619131
2,3,1,5988.999435,3447.35523033333,2676.4997475,"2",8.69767963792484,8.14536261613406,7.89226515549381,"Early",0.0208938607212397
1.25,1,2,6301.11051666667,5099.77729666667,3156.44414666667,"1.25",8.74848116933223,8.53695215043871,8.05720140294708,"Early",0.0181066837700063
1,1,1,6547.05820588235,6678.69218039216,3508.39182588235,"1",8.78677109886779,8.8066774659846,8.16291304220402,"Early",0.0170263285443058
10,2,1,1482.82208233333,818.555478333333,773.799927,"10",7.30170236348652,6.70754117500697,6.65131334792679,"Late",0.0174078179388171
5,2,3,1889.15537733333,1069.42212133333,703.133267,"5",7.54388511786864,6.97487370804347,6.55554644283478,"Early",0.0290786273036638
1,1,2,6595.55493333333,3313.48116888889,3227.11080666667,"1",8.79415120616541,8.10575462836407,8.07934252882429,"Early",0.0185745007945161
1.25,1,3,7843.99926,5747.55501333333,3768.88853333333,"1.25",8.96750409297661,8.65652982828937,8.23453541822999,"Early",0.0189708449761795
1,3,1,14504.331965,6359.9994,5335.33283,"1",9.58220263999681,8.75778356199454,8.58210654791925,"Early",0.0298276780720733
4,3,2,2556.95531433333,1966.88870333333,1807.88871833333,"4",7.84657249932047,7.58420823485298,7.49991498946347,"Early",0.0158465988751523
0.25,3,2,6407.11050666667,3651.11076666667,2941.4997225,"0.25",8.76516366929216,8.20278671991541,7.98667483996488,"Early",0.0201111329294382
2,1,2,3592.22188333333,2653.533083,2263.68867533333,"2",8.18652619904363,7.88364726987442,7.72475091897241,"Early",0.0157578141978674
0.083333333,3,2,11871.99888,8527.11030666667,5735.77723666667,"0.08",9.38193787106754,9.05100581482194,8.65447854551881,"Early",0.0188472455643793
10,1,3,825.622144333333,524.111061666667,304.102193533333,"10",6.71613721647677,6.26170361160842,5.71736380785472,"Late",0.0297417175639052
5,3,3,3257.733026,3204.733031,1598.24429366667,"5",8.08878684166688,8.07238406822542,7.37666098927704,"Early",0.0185186029984951
2,1,3,5405.99949,3740.62186933333,2638.22197333333,"2",8.59526463249677,8.2270071518092,7.87786047429126,"Early",0.0186292198577827
0.25,2,3,4687.55511333333,3727.666315,2629.97752966667,"0.25",8.45266642772066,8.22353766402045,7.87473058128233,"Early",0.0164891998134998
2,3,3,2321.399781,2015.17758766667,1373.28875933333,"2",7.7499256365949,7.60846260333437,7.22496369635261,"Early",0.0160492261782627
1.25,3,3,7573.11039666667,5559.11058666667,4122.22183333333,"1.25",8.93235914667384,8.62319340802178,8.32414757691968,"Early",0.0168262776224803
3,1,1,6937.11045666667,2254.266454,2578.15531233333,"3",8.84464060608781,7.72057990145507,7.85482942696504,"Early",0.0291706016508778
4,1,1,6348.22162333333,2051.0998065,2070.533138,"4",8.75592999334522,7.62613141924823,7.6355614076873,"Early",0.0397986139912576
1,2,1,6677.99937,1350.91098366667,1592.35540533333,"1",8.80657372616397,7.20853444657155,7.37296958604508,"Early",0.104975490992929
5,1,1,6200.999415,4115.15516733333,3570.4329965,"5",8.73246575401025,8.32243182013618,8.18044215495396,"Early",0.0162508642713105
3,2,3,5771.11056666667,2018.71092066667,1930.37759566667,"3",8.66061981354089,7.6102144285999,7.565470908186,"Early",0.0373060947450863
3,3,1,2904.399726,925.733246,1128.31100466667,"3",7.97398201316646,6.83058612187138,7.02847710741304,"Early",0.0266178286127264
4,3,3,5423.666155,1971.599814,1805.533163,"4",8.59852727813158,7.5866005804916,7.49861120831399,"Early",0.0377586137888929
4,3,1,2562.84420266667,1055.28878933333,1068.8332325,"4",7.84887293741801,6.96156974241711,6.97432289558118,"Early",0.0233331121412816
14,2,2,383.3666305,161.944429166667,40.10332955,"14",5.9489917910908,5.0872532465488,3.6914593620377,"Late",0.916983686389738
1,3,2,4193.12885612245,2013.03835884354,1291.9499914966,"1",8.34120247794647,7.60740048101886,7.16390797732146,"Early",0.0464221309175691
7,2,2,5158.66618,2339.066446,1716.02206033333,"7",8.54843333281267,7.75750717404729,7.44776413563738,"Early",0.037830876676544
14,3,1,120.4866553,78.96999255,9.17135469033333,"14",4.79153900239976,4.36906793916986,2.21608500603702,"Late",0.992284599036456
0.083333333,3,1,12036.8877533333,4045.666285,3070.466377,"0.08",9.39573119319987,8.30540153409862,8.02958474337568,"Early",0.0832376029874879
10,2,3,969.8999085,372.531075966667,159.824429366667,"10",6.87719287905987,5.92032045975378,5.074075896283,"Late",0.394381782166419
5,3,2,4546.22179333333,1902.11093166667,1483.99986,"5",8.42205179190105,7.55071956509893,7.3024963293877,"Early",0.0397143543614735
5,1,2,3088.133042,863.311029666667,903.355470333333,"5",8.03532199376582,6.76077503132883,6.80611613080943,"Early",0.0539192640888883
3,3,2,10152.4434866667,3473.266339,2798.399736,"3",9.22546969309991,8.15285073825745,7.93680300992471,"Early",0.0646744534891086
0.083333333,1,1,17160.2206033333,7785.11037666667,5759.33279,"0.08",9.75034922863142,8.95996826228791,8.65857691191109,"Early",0.0369906248432653
0.25,2,1,5794.66612,1849.11093666667,1650.066511,"0.25",8.66469313892853,7.52246022778453,7.40857087577918,"Early",0.058468251279847
1,1,3,6536.66605,2665.31085966667,2547.533093,"1",8.78518253618265,7.88807597507571,7.84288075539523,"Early",0.026449502382673
3,3,3,6595.55493333333,2429.75532633333,2218.933124,"3",8.79415120616541,7.79554584251343,7.70478178457848,"Early",0.0367686393485738
4,1,3,3413.199678,1273.17765766667,1713.666505,"4",8.1354054523228,7.14927114708138,7.44639050904777,"Early",0.0180642686684793
10,3,2,316.468859033333,165.7133177,23.9677755166667,"10",5.75722484506362,5.11025929356252,3.17671024133078,"Late",0.992601275706835
0.083333333,3,3,7997.11035666667,3401.42190133333,3330.1663525,"0.08",8.98683554999492,8.13194882945489,8.11077753743245,"Early",0.023394001481273
0.083333333,2,3,5700.44390666667,2068.7664715,2323.1664475,"0.08",8.64829932915285,7.63470780114806,7.7506863821622,"Early",0.0243042390242859
1.25,2,3,3331.16807061856,1293.1270257732,1615.49812938144,"1.25",8.11107829342591,7.16481861507041,7.38739862734463,"Early",0.0187641561148574
10,1,1,832.688810333333,381.599964,159.824429366667,"10",6.72465999533875,5.9443728452345,5.074075896283,"Late",0.231396123223537
14,1,1,906.888803333333,291.028861433333,61.8215497233333,"14",6.8100198442899,5.67342244243674,4.12425200470638,"Late",0.996980866117225
10,3,3,833.866588,220.715534733333,28.0075529133333,"10",6.72607342313589,5.3968746992465,3.33247422070481,"Late",0.99999766739392
5,2,2,4887.77731666667,2063.466472,1044.68879033333,"5",8.49449294266692,7.63214260093851,6.95147431175175,"Early",0.155711093241058
2,2,3,6412.999395,2373.22199833333,1370.933204,"2",8.76608236480924,7.77200380382296,7.22324695773356,"Early",0.155606395006593
0.083333333,2,2,3768.88853333333,1793.75538633333,1141.266559,"0.08",8.23453541822999,7.49206668233734,7.03989394133294,"Early",0.0487562717496362
7,2,1,978.733241,396.4399626,250.5133097,"7",6.88625912429762,5.98252461119888,5.52351205164837,"Early",0.0822934743700463
1.25,2,1,6831.11046666667,3158.799702,1542.2998545,"1.25",8.82924252597669,8.0579473932838,7.34102999338994,"Early",0.127527842379535
7,3,1,1202.51099766667,506.444396666667,651.8999385,"7",7.09216714760684,6.22741453812978,6.47989108159087,"Early",0.0168765135842307
7,1,1,3359.02190533333,978.733241,676.044380666667,"7",8.11940511097636,6.88625912429762,6.51625872576174,"Early",0.19433739711344
7,3,3,1376.82209233333,453.444401666667,277.7199738,"7",7.22753329091424,6.11687266372996,5.62661331754545,"Early",0.192747209933062
0.083333333,1,2,21600.4424066667,9928.66573,6312.88829333333,"0.08",9.98046907525263,9.20318138043808,8.75034858350702,"Early",0.054065862982468
1.25,3,2,6801.666025,3382.57745866667,2231.2997895,"1.25",8.82492286483217,8.12639325961029,7.71033955990083,"Early",0.0392049168989203
0.25,3,3,7985.33258,3176.466367,2123.533133,"0.25",8.98536171037662,8.0635246525819,7.66083655264549,"Early",0.0725374086594922
3,1,2,6124.44386666667,3311.91079866667,1963.35537033333,"3",8.72004323401169,8.10528058237273,7.58241021219297,"Early",0.0416526326939241
1,2,2,6430.66606,6842.88824333333,3615.77743666667,"1",8.76883339818113,8.83096517928813,8.19306217002342,"Early",0.0164675515903643
2,1,1,4063.33295,6783.99936,3886.6663,"2",8.30975883946758,8.82232208313211,8.26530707689675,"Early",0.0204256511305593
0.25,1,3,19680.66481,7361.11041666667,4098.66628,"0.25",9.88739195103162,8.90396607217262,8.31841690221069,"Early",0.171315871323306
1.25,1,1,3762.999645,8197.33256,5629.77724666667,"1.25",8.23297169625381,9.01156408277064,8.63582515492768,"Early",0.0551809772949845
2,2,2,5323.55505333333,4228.22182333333,2314.333115,"2",8.57989660226845,8.3495368109245,7.74687685374554,"Early",0.0217891465303766
14,3,3,200.222203333333,112.477767166667,14.66333195,"14",5.29942776649244,4.72275557692886,2.68534995235289,"Late",0.994412410620534
0.25,1,1,21282.4424366667,11188.8878333333,6524.88827333333,"0.25",9.96563771302845,9.32267640703081,8.7833791091835,"Early",0.0470736787823991
7,2,3,3066.933044,2064.64424966667,1383.88875833333,"7",8.02843333277064,7.63271321436341,7.23265275602043,"Early",0.020603944306842
7,1,2,1125.95544933333,1685.399841,1081.199898,"7",7.02638724249358,7.42975810899863,6.98582672006267,"Early",0.020538569330096
14,1,3,105.057767866667,69.9599934,6.059666095,"14",4.65451036902814,4.24792355581077,1.80165469872819,"Late",0.999336643963448
7,1,3,1102.399896,1269.64432466667,1264.933214,"7",7.00524480591977,7.14649208091112,7.14277460451099,"Early",0.0280714174520621
4,2,3,2792.51084766667,2456.84421266667,2534.57753866667,"4",7.93469641550758,7.80663296500289,7.83778225072385,"Early",0.0190678419602743
4,2,1,997.577683666667,1377.99987,1176.599889,"4",6.90533002409423,7.22838835723398,7.07038410809073,"Early",0.0297674491177329
5,2,1,951.644354666667,1485.17763766667,723.155487333333,"5",6.85819138796327,7.30328966540709,6.58362425758932,"Early",0.0163154402237084
3,2,2,2579.33309,2807.82195733333,2430.933104,"3",7.85528615225272,7.94016435762742,7.79603045604363,"Early",0.0200120689274455
